,nom,latitude,longitude,gid_0,name_0,gid_1,name_1,gid_2,name_2,gid_3,name_3,gid_4,name_4,gid_5,name_5,id,idplace,idauteur,date_review,country
27,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",339746125,244980,6DF3015DADAFB678E3C4DA6DB3C92E27,2016-01-13,France
28,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",339448687,244980,E0196E0B97D75EEFAAD36BCA3BAE8BA6,2016-01-12,-
29,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",339427910,244980,2102BD2D438640BD3BBE5E04BD201EEC,2016-01-12,France
30,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",339389580,244980,42916C4CF9EFB7432ABDB3A5724EFB0C,2016-01-12,
31,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",339177779,244980,4E79325E8949C9AB362412E566893FDF,2016-01-11,France
32,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",339089262,244980,6ECE42B955FBB9C416CDFC947344A643,2016-01-11,
33,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",338632556,244980,A577F2691811CD7B906ED58885953D2F,2016-01-09,France
34,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",338078658,244980,50912F9FBC7C53F51E55B442B4AA05AB,2016-01-06,France
35,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",337196302,244980,41F22E77302E0F5E19D86B10B822EFB8,2016-01-04,
36,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",337033243,244980,79A85C0E34A1F2BE2B3C41D88418D082,2016-01-03,
37,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",336650003,244980,B9B83634A9EC6CBDC0D5F5756A2B298D,2016-01-02,France
38,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",336487108,244980,E3814E1D13BFC533BF684C4A99BC5744,2016-01-01,France
39,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",336451334,244980,0E67D92206A4F8B81DC45AA1FDE9A685,2016-01-01,France
40,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",336352096,244980,FE5785756220EF0855D2115034F8E00E,2016-01-01,France
41,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",336292512,244980,D4F7A4362302309DB909D5C283A81077,2015-12-31,France
42,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",336260205,244980,AB9592F3EA0F772D1907760A6C6EBA18,2015-12-31,France
43,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",335998696,244980,B37D3DF01FCDA0CCDCD95FDD928CAF2D,2015-12-30,
44,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",335779578,244980,1DF7A7B0898067A2114D4D6693BE924F,2015-12-29,
45,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",335413180,244980,62B54358651EBA0EFFE76922FFBC647C,2015-12-28,France
46,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",335407171,244980,E37C49BA1605152F8554A63B7A5E7807,2015-12-28,France
47,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",335200495,244980,173B760F4281F2CC4F0F527D721798F8,2015-12-27,
48,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",334586249,244980,A98DF8823A2741328EA4B2D052C11100,2015-12-23,France
49,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",334342872,244980,16A4C1F3FBB1B38F491CB7D0CE674F17,2015-12-21,France
50,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",334034154,244980,FFB46F80C98B9284A7A36E2CC3D39521,2015-12-20,France
